,Project Type,Reference Number,Project Name,Agency,Published Date,Procurement Category,Closed Date,Current Status,Qualification Criteria,Respondents,Awarded To,Awarded Value
345,Tender,BCA000ETT19300017 / BCA T-722/2019,PROPOSED ESTATE UPGRADING PROGRAMME (EUP) BATCH 9 AT MENG SUAN AND SPRINGLEAF ESTATE,Building and Construction Authority,13 May 2019 12:05AM,Construction ⇒ General Building & Minor Construction Works,03 Jun 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
346,Quotation,MOE000ETQ19300197 / MOE/SCD/GOVT/BLDG/2019/MAY/Q5,"UNDERGROUND SERVICES DETECTION FOR PROPOSED NEW SPED EDUCATIONAL CAMPUS AT EXISTING EAST VIEW PRIMARY SCHOOL AT 4 TAMPINES STREET 91, SINGAPORE 528907",Ministry of Education,13 May 2019 12:05AM,Construction ⇒ Soil Investigation & Stabilization,24 May 2019 01:00PM,AWARDED,Not Applicable,,,
347,Quotation,MOESCHETQ19302518,Refurbishment and Improvement works to General office,Ministry of Education - Schools,10 May 2019 05:50PM,Construction ⇒ Repairs & Redecoration,31 May 2019 01:00PM,AWARDED,Not Applicable,,,
348,Tender,HPB000ETT19300019 / CIOOT13/19,"CIOOT13/19 Design and Construct An Office Space for Agile Software Development, Inclusive of Toilet Upgrading Works, at Part of HPB Building Level 2",Health Promotion Board,10 May 2019 05:35PM,Construction ⇒ Renovation Supplies & Services,04 Jun 2019 04:00PM,AWARDED,Not Applicable,,,
349,Quotation,LTA000ETQ19300112 / OT/19/12,Procurement and installation of CCTV system,Land Transport Authority,10 May 2019 05:20PM,Construction ⇒ Others,24 May 2019 01:00PM,AWARDED,Not Applicable,,,
350,Quotation,PUB000ETQ19300116 / 44190144,44190144/WSP/Minor Works at Tuaspring Desalination Plant.,Public Utilities Board,10 May 2019 04:20PM,Construction ⇒ General Building & Minor Construction Works,21 May 2019 01:00PM,NO AWARD,Not Applicable,,Not Applicable,Not Applicable
351,Quotation,PAS000ETQ19300118 / PA-ITQ-2019-0121,"QUOTATION FOR SUPPLY, DELIVERY, INSTALLATION AND REMOVAL OF NATIONAL DAY 2019 DECORATIONS AT PEOPLE'S ASSOCIATION HEADQUARTERS",People's Association,10 May 2019 01:35PM,Construction ⇒ Signages,22 May 2019 01:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
352,Tender,PUB000ETT19300104 / PUB000/CW-RC/33190096,Minor Building and Structure Repair and Improvement Works at Reservoir Installations,Public Utilities Board,10 May 2019 11:50AM,Construction ⇒ General Building & Minor Construction Works,30 May 2019 04:00PM,AWARDED,Not Applicable,,,
353,Quotation,MOESCHETQ19302481,2019 Refurbishment of the School Library,Ministry of Education - Schools,10 May 2019 11:50AM,Construction ⇒ Interior Decoration,22 May 2019 01:00PM,AWARDED,Not Applicable,,,
354,Quotation,MOESCHETQ19302497 / ITQ2019009,"Conceptualisation, Design, Supply and Installation of Improvement Work to Existing Media Resource Library",Ministry of Education - Schools,10 May 2019 11:19AM,Construction ⇒ Renovation Supplies & Services,24 May 2019 01:00PM,AWARDED,Not Applicable,,,
355,Tender,PUB000ETT19300111 / WSN-PW/33190115,"Proposed 1600mm Diameter Water Pipeline along Still Road South, Still Road and Jalan Eunos",Public Utilities Board,10 May 2019 11:05AM,Construction ⇒ Pipe or Cable Laying & Road Reinstatement,06 Jun 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
356,Quotation,PAS000ETQ19300114 / PA-ITQ-2019-0109,"SOIL INVESTIGATION WORKS (SERVICES) FOR THE PROPOSED UPGRADING OF YIO CHU KANG COMMUNITY CLUB FOR PEOPLE’S ASSOCIATION, SINGAPORE",People's Association,10 May 2019 11:05AM,Construction ⇒ Soil Investigation & Stabilization,21 May 2019 01:00PM,AWARDED,Not Applicable,,,
357,Tender,NEA000ETT19300036,Proposed Design and Build for Improvement Works at Jurong West Hawker Centre,National Environment Agency,10 May 2019 10:50AM,Construction ⇒ General Building & Minor Construction Works,30 May 2019 04:00PM,AWARDED,Not Applicable,,,
358,Tender,PUB000ETT19300105 / WRN/33190084,Rehabilitation of Sewerage Network Phase 5 - Southern Region Contract 3 (Big Diameter 600mm to 1700mm),Public Utilities Board,10 May 2019 09:05AM,Construction ⇒ Pipe or Cable Laying & Road Reinstatement,06 Jun 2019 04:00PM,AWARDED,Not Applicable,,,
359,Quotation,TPO000ETQ19300123 / EFM5/19/0020/KC,"EFM5/19/0020/KC - Provision of labour, tools and materials to convert red parking lots to white parking lots at Temasek Polytechnic.",Temasek Polytechnic,10 May 2019 08:20AM,Construction ⇒ Asphalt Works & Road Marking,24 May 2019 01:00PM,AWARDED,Not Applicable,,,
360,Tender,PUB000ETT19300110 / WRN/33190082,Rehabilitation of Sewerage Network Phase 5 - Southern Region Contract 2,Public Utilities Board,10 May 2019 01:20AM,Construction ⇒ Civil Engineering,06 Jun 2019 04:00PM,AWARDED,Not Applicable,,,
361,Tender,NPB000ETT19300039 / N/25/2019,DEVELOPMENT OF JURONG LAKE GARDENS CENTRAL AND EAST,National Parks Board,09 May 2019 06:35PM,Construction ⇒ Others,05 Aug 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
362,Quotation,MOESCHETQ19302489,Supply & Installation Of QTPS Wall Murals,Ministry of Education - Schools,09 May 2019 04:50PM,Construction ⇒ Signages,17 May 2019 01:00PM,AWARDED,Not Applicable,,,
363,Quotation,ITE000ETQ19300121,"E18343_CPT: Supply and install staircase, toe plate and wire mesh for training rig at Plant Processes Workshop T01-01/02/03/04 at ITE College East",Institute of Technical Education,08 May 2019 04:05PM,Construction ⇒ Fencing & Ironworks,21 May 2019 01:00PM,AWARDED,Not Applicable,,,
364,Tender,HDB000ETT19300128 / BIG-TN190024,(A) Diversion Of Sewer & Water Main; (B) Construction Of POB In Punggol; (C) Construction of SPC in Sengkang,Housing and Development Board,08 May 2019 12:50PM,Construction ⇒ Civil Engineering,21 Jun 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
365,Quotation,MOESCHETQ19302262,Deyi Secondary School - Upgrading and improvement of aquaponics greenhouse,Ministry of Education - Schools,08 May 2019 12:05AM,Construction ⇒ General Building & Minor Construction Works,17 May 2019 01:00PM,AWARDED,Not Applicable,,,
366,Quotation,NHB000ETQ19300039,INVITATION TO QUOTE FOR THE INSTALLATION OF FALL ARREST SYSTEM AT HERITAGE CONSERVATION CENTRE UNDER THE NATIONAL HERITAGE BOARD,National Heritage Board,07 May 2019 07:05PM,Construction ⇒ Fencing & Ironworks,22 May 2019 01:00PM,AWARDED,Not Applicable,,,
367,Qualification,JTC000EPQ19300001 / JTC19T0024,OMC2 D&B Prequalification stage,Jurong Town Corporation,07 May 2019 04:20PM,Construction ⇒ Civil Engineering,06 Jun 2019 04:00PM,CLOSED,"1) This is a Pre-Qualification for Design and Build of Offshore Marine Centre 2 at Tuas Western Coast;
(2) Tenderers are to submitits proposal in GeBIZ electronically before the stated tender closing date and time;
(3) Manual submissions are not accepted;
(4)Tenderers are advised to refer to the Critical Criteria to check their tendering eligibility before they prepare their Proposals;
(5) A maximum of 6 Qualified Tenderers will be invited to participate in the subsequent Tender Stage.",,Not Applicable,Not Applicable
368,Quotation,NYP000ETQ19300095,Fabrication and Installation of Glass Writing Boards in Training Rooms,Nanyang Polytechnic,07 May 2019 03:50PM,Construction ⇒ Renovation Supplies & Services,21 May 2019 01:00PM,AWARDED,Not Applicable,,,
369,Quotation,HDB000ETQ19300124 / PLG-QN190020,Quotation for accredited checking services for proposed addition and alteration works at Sunshine Place,Housing and Development Board,07 May 2019 03:35PM,Construction ⇒ Others,15 May 2019 01:00PM,AWARDED,Not Applicable,,,
370,Tender,HOMHQ0ETT19300042 / MHA191/9/7/17,Proposed Development of a new Annex Building and Retrofitting Works to existing Immigration & Checkpoints Authority Building,Ministry of Home Affairs-Ministry Headquarter,07 May 2019 12:05AM,Construction ⇒ General Building & Minor Construction Works,12 Sep 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
371,Tender,LTA000ETT19300090 / 9355,A&A Works for Additional PV System Capacity in Rail Depots,Land Transport Authority,06 May 2019 04:50PM,Construction ⇒ Civil Engineering,07 Aug 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
372,Quotation,MOESCHETQ19302408,"TO CONCEPTUALISATION, DESIGN AND INSTALLATION OF DESIGN WORKS FOR INNOVATION LEARNING HUB, GEYLANG METHODIST SCHOOL (PRIMARY)",Ministry of Education - Schools,06 May 2019 04:20PM,Construction ⇒ Renovation Supplies & Services,21 May 2019 01:00PM,AWARDED,Not Applicable,,,
373,Tender,LTA000ETT19300086 / AM101,Expansion of Public Bicycle Parking Spaces,Land Transport Authority,06 May 2019 10:35AM,Construction ⇒ Civil Engineering,14 Jun 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
374,Quotation,MOESCHETQ19302379,"ITQ-To Design, Supply Equipment and other Resources for Fabric Art Installation at the Concourse for Mayflower Primary School's 40th Anniversary",Ministry of Education - Schools,06 May 2019 09:35AM,Construction ⇒ Renovation Supplies & Services,17 May 2019 01:00PM,AWARDED,Not Applicable,,,
375,Tender,PUB000ETT19300102 / DTSS2/33190101,Provision of Tunnel Integrity Monitoring System (TIMS) for the Deep Tunnel Sewerage System Phase 2 Project,Public Utilities Board,03 May 2019 01:20PM,Construction ⇒ Others,27 Jun 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
376,Quotation,MOESCHETQ19302353,Redesign and renovate (inclusive of furnishing) library for Gongshang Primary School.,Ministry of Education - Schools,03 May 2019 01:20PM,Construction ⇒ Renovation Supplies & Services,13 May 2019 01:00PM,NO AWARD,Not Applicable,,Not Applicable,Not Applicable
377,Tender,SDC000ETT19300014 / SDC/21.8.9/19,PROPOSED IMPROVEMENT WORK TO NORTH LOCK GATE HYDRAULIC SYSTEMS AT SENTOSA COVE,Sentosa Development Corporation,03 May 2019 11:50AM,Construction ⇒ Repairs & Redecoration,10 Jun 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
378,Tender,PUB000ETT19300097 / WSP-PW/33190099,Provision of Vehicular and Pedestrian Shelter and Miscellaneous Works at Johor River Waterworks,Public Utilities Board,03 May 2019 11:35AM,Construction ⇒ Civil Engineering,30 May 2019 04:00PM,AWARDED,Not Applicable,,,
379,Tender,AGC000ETT19300008,ITT for the Fitting Out Works of the Attorney-General's Chambers Office at the New Funan Mall,Attorney-General's Chambers,03 May 2019 09:50AM,Construction ⇒ Others,30 May 2019 04:00PM,AWARDED,Not Applicable,,,
380,Tender,PUB000ETT19300098 / WRN/33190083,Rehabilitation of Sewerage Network Phase 5 - Southern Region Contract 1,Public Utilities Board,03 May 2019 06:50AM,Construction ⇒ Civil Engineering,30 May 2019 04:00PM,AWARDED,Not Applicable,,,
381,Tender,PUB000ETT19300099 / CW-DD / 33190089,Term Contract for Minor Drainage Repair Works in Singapore,Public Utilities Board,03 May 2019 01:05AM,Construction ⇒ Civil Engineering,30 May 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
382,Quotation,MOESCHETQ19302351,"The design, fabrication and installation of display areas, flooring, and furnishings for ALP rooms (Tinker 1 and 2 rooms).",Ministry of Education - Schools,02 May 2019 06:05PM,Construction ⇒ Renovation Supplies & Services,10 May 2019 01:00PM,AWARDED,Not Applicable,,,
383,Quotation,MOESCHETQ19302332,Woodlands Sec Sch - Construction and Furnishing of Aesthetics Corner,Ministry of Education - Schools,02 May 2019 03:50PM,Construction ⇒ Renovation Supplies & Services,10 May 2019 01:00PM,AWARDED,Not Applicable,,,
384,Tender,LTA000ETT19300089 / 9195,Remedial Works for Contract 926 and 927,Land Transport Authority,02 May 2019 02:20PM,Construction ⇒ Civil Engineering,17 Jun 2019 04:00PM,AWARDED,Not Applicable,,,
385,Quotation,NPO000ETQ19300097 / DEO/19/0002,(DEO/19/0002) Refurbishment of Radio Heatwave at Block 1 Atrium,Ngee Ann Polytechnic,02 May 2019 10:35AM,Construction ⇒ Repairs & Redecoration,15 May 2019 01:00PM,AWARDED,Not Applicable,,,
386,Quotation,JUDSUPETQ19300016,ITQ For The Soil Investigation Works For Family Justice Courts,Judiciary-Supreme Court,02 May 2019 08:35AM,Construction ⇒ Soil Investigation & Stabilization,14 May 2019 01:00PM,AWARDED,Not Applicable,,,
387,Quotation,URA000ETQ19300018 / URA/Q/19/006,Quotation For Construction Of Test Trail At Bukit Timah Road,Urban Redevelopment Authority,30 Apr 2019 06:20PM,Construction ⇒ Asphalt Works & Road Marking,10 May 2019 01:00PM,AWARDED,Not Applicable,,,
388,Tender,NLB000ETT19300014 / NLB000/14/2019,"REINSTATEMENT WORKS FOR CHOA CHU KANG PUBLIC LIBRARY (CCKPL), FOR THE NATIONAL LIBRARY BOARD, SINGAPORE",National Library Board,30 Apr 2019 05:05PM,Construction ⇒ Others,23 May 2019 04:00PM,AWARDED,Not Applicable,,,
389,Tender,SPO000ETT19300042 / SP/ED/19002/GBC,RO19/ED/0008 Proposed renovation works for EEE staff office at T12L5 & T12AL5 at Singapore Polytechnic,Singapore Polytechnic,30 Apr 2019 04:50PM,Construction ⇒ Renovation Supplies & Services,04 Jun 2019 04:00PM,AWARDED,Not Applicable,,,
390,Tender,LTA000ETT19300088 / PT372,Proposed Design and Construction of Bus Interchange & Associated Works at Tampines North,Land Transport Authority,30 Apr 2019 03:35PM,Construction ⇒ Civil Engineering,29 Jul 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
391,Tender,RPO000ETT19300026,Tender for the Design and Build of Proposed Vertical Green Wall System with Optional 2 Years of Comprehensive Maintenance at RPIC for OES,Republic Polytechnic,30 Apr 2019 03:20PM,Construction ⇒ Others,27 May 2019 04:00PM,AWARDED,Not Applicable,,,
392,Tender,NST000ETT19300049 / CG/027/FY18,"REPLACEMENT OF CARPETS AT MATRIX LEVEL 4 THEATRETTES (BREAKTHROUGH & DISCOVERY AND EXPLORATION THEATRETTES), WITH OPTION TO REPLACE CARPET AT CREATION","Agency for Science, Technology and Research",30 Apr 2019 02:35PM,Construction ⇒ Renovation Supplies & Services,24 May 2019 04:00PM,AWARDED,Not Applicable,,,
393,Tender,HSA000ETT19300013 / C1000039214,REPLACEMENT OF WATER TANKS & PROVISON OF REPLACEMENT/REPAIR WORKS FOR CURTAIN WALLS/CLADDINGS JOINTS AT HEALTH SCIENCES AUTHORITY (HSA) BUILDING,Health Sciences Authority,30 Apr 2019 02:20PM,Construction ⇒ Renovation Supplies & Services,29 May 2019 04:00PM,AWARDED,Not Applicable,,,
394,Tender,RPO000ETT19300027,Tender for replacement of doors in Republic Polytechnic for OES,Republic Polytechnic,30 Apr 2019 11:35AM,Construction ⇒ Renovation Supplies & Services,28 May 2019 04:00PM,AWARDED,Not Applicable,,,
395,Tender,HLTHQ0ETT19300023 / MOH ITT B33/18,Tender for NSC Works for Supply & Installation of Audio Visual (AV) Systems to the proposed health campus at Woodlands Dr17/Ave12,Ministry of Health-Ministry Headquarter,30 Apr 2019 10:35AM,Construction ⇒ Others,14 Jun 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
396,Quotation,MOESCHETQ19302286,North Vista Primary School - Redesign and renovate existing School Media Resource Library at North Vista Primary School,Ministry of Education - Schools,30 Apr 2019 09:20AM,Construction ⇒ Renovation Supplies & Services,21 May 2019 01:00PM,AWARDED,Not Applicable,,,
397,Tender,LTA000ETT19300084 / TR330,Painting to Parapets and Tunnel Walls,Land Transport Authority,29 Apr 2019 08:20PM,Construction ⇒ Repairs & Redecoration,04 Jul 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
398,Quotation,HOMPDEETQ19300021,TOPOGRAPHICAL SURVEY AND CABLE DETECTION WORK AT 21 ADMIRALTY ROAD WEST FOR SINGAPORE PRISON SERVICE,Ministry of Home Affairs-Prison Department,29 Apr 2019 03:05PM,Construction ⇒ Civil Engineering,15 May 2019 01:00PM,AWARDED,Not Applicable,,,
399,Quotation,NPB000ETQ19300050 / NPB000EAR19300553,INVITATION TO QUOTE FOR THE SUPPLY & DELIVERY OF BLACK ANODIZED ALUMINIUM PLATES TO SINGAPORE BOTANIC GARDENS,National Parks Board,29 Apr 2019 03:05PM,Construction ⇒ Signages,14 May 2019 01:00PM,AWARDED,Not Applicable,,,
400,Quotation,PAS000ETQ19300109 / PA-ITQ-2019-0110,Proposed Cyclical Maintenance Programme to Kolam Ayer (Sims Drive) Senior Citizens' Centre,People's Association,29 Apr 2019 01:50PM,Construction ⇒ General Building & Minor Construction Works,17 May 2019 01:00PM,AWARDED,Not Applicable,,,
401,Quotation,MOESCHETQ19302285,Renovation Works of the Heads of Department Office for Yu Neng Primary School,Ministry of Education - Schools,29 Apr 2019 10:35AM,Construction ⇒ Renovation Supplies & Services,10 May 2019 01:00PM,AWARDED,Not Applicable,,,
402,Quotation,SCB000ETQ19300039 / SCB000ETQ19300039,ANNEX BUILDING NEW OFFICE,Science Centre Board,29 Apr 2019 09:50AM,Construction ⇒ Renovation Supplies & Services,09 May 2019 01:00PM,AWARDED,Not Applicable,,,
403,Quotation,HLTHQ0ETQ19300018 / MOH ITQ B30/18,"INVITATION TO QUOTE FOR SOIL INVESTIGATION WORKS FOR THE PROPOSED DEVELOPMENT OF A NURSING HOME AT WEST COAST LINK, SINGAPORE",Ministry of Health-Ministry Headquarter,29 Apr 2019 12:05AM,Construction ⇒ Soil Investigation & Stabilization,08 May 2019 01:00PM,AWARDED,Not Applicable,,,
404,Tender,SLA000ETT19300004 / PT19-3/7-1/240,"Proposed Design, Build and Set-up of Office for Singapore Land Authority at Revenue House",Singapore Land Authority,26 Apr 2019 06:20PM,Construction ⇒ Interior Decoration,31 May 2019 04:00PM,AWARDED,Not Applicable,,,
405,Tender,LTA000ETT19300080 / N113,Design and Construction of North South Corridor (Viaduct) between Yishun Ave 5 and Woodlands Ave 10,Land Transport Authority,26 Apr 2019 06:05PM,Construction ⇒ Civil Engineering,09 Sep 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
406,Tender,HDB000ETT19300120 / DPG-TN190060,Proposed Water Main Diversion Along Jalan Bukit Merah And Redhill Close For Demolition Of HDB Residential Blks 1 To 3 & Blks 5 To 22 At Redhill Close,Housing and Development Board,26 Apr 2019 04:05PM,Construction ⇒ Pipe or Cable Laying & Road Reinstatement,29 May 2019 04:00PM,AWARDED,Not Applicable,,,
407,Quotation,NHB000ETQ19300035,INVITATION TO QUOTE FOR FABRICATION AND INSTALLATION OF PLAQUES AND PLAQUE STANDS,National Heritage Board,26 Apr 2019 09:20AM,Construction ⇒ Signages,10 May 2019 01:00PM,AWARDED,Not Applicable,,,
408,Tender,HLTHQ0ETT19300022 / MOH ITT B23/18,ITT FOR NSC WORKS FOR VERTICAL TRANSPORTATION SYSTEM AT SINGAPORE GENERAL HOSPITAL MK01 ON LOT 04103P AT JALAN BUKIT MERAH (BUKIT MERAH),Ministry of Health-Ministry Headquarter,26 Apr 2019 09:05AM,Construction ⇒ Others,03 Jun 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
409,Tender,PUB000ETT19300089 / PUB000/DTSS2/33190100,Construction of Link Sewers for the DTSS Phase 2 Project - Schedule I Contract 6 (Shenton Way/Warwick Road/Bukit Chermin Road/Kampong Bahru Road),Public Utilities Board,26 Apr 2019 05:50AM,Construction ⇒ Civil Engineering,20 Jun 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
410,Tender,PUB000ETT19300091 / WRN/33190085,Rehabilitation of Sewerage Network Phase 5 - Colour Closed-Circuit Television (CCTV) Survey of Sewers Contract - Western Region,Public Utilities Board,26 Apr 2019 02:20AM,Construction ⇒ Civil Engineering,23 May 2019 04:00PM,AWARDED,Not Applicable,,,
411,Tender,BCA000ETT19300015 / BCA T-720/2019,PROPOSED ESTATE UPGRADING PROGRAMME (EUP) BATCH 8 FOR GOLDHILL ESTATE (PHASE 2),Building and Construction Authority,26 Apr 2019 12:05AM,Construction ⇒ General Building & Minor Construction Works,17 May 2019 04:00PM,AWARDED,Not Applicable,,,
412,Tender,NLB000ETT19300013 / NLB000/13/2019,"INVITATION TO TENDER FOR THE PROPOSED RENOVATION WORKS TO EXISTING LIBRARY SUPPLY CENTRE FOR NATIONAL LIBRARY BOARD, SINGAPORE",National Library Board,25 Apr 2019 11:20PM,Construction ⇒ Interior Decoration,22 May 2019 04:00PM,AWARDED,Not Applicable,,,
413,Tender,RPO000ETT19300023,Tender for Re-tiling and Waterproofing Works to Food Stalls at Lawn Foodcourt for OES,Republic Polytechnic,25 Apr 2019 06:50PM,Construction ⇒ General Building & Minor Construction Works,30 May 2019 04:00PM,AWARDED,Not Applicable,,,
414,Quotation,LTA000ETQ19300101 / CP/19/24,Request LAN cabling work for office renovation,Land Transport Authority,25 Apr 2019 05:05PM,Construction ⇒ Renovation Supplies & Services,06 May 2019 01:00PM,AWARDED,Not Applicable,,,
415,Quotation,MOESCHETQ19302218,West Spring Primary School - Design of an Art Gallery with a Bee Hive Theme to display students 2D and 3D Artworks.,Ministry of Education - Schools,25 Apr 2019 11:05AM,Construction ⇒ Renovation Supplies & Services,09 May 2019 01:00PM,AWARDED,Not Applicable,,,
416,Quotation,PUB000ETQ19300093 / 44190125,"44190125/WSP/Supply, delivery and installation of entrance signage with PUB logo on signage wall.",Public Utilities Board,25 Apr 2019 11:05AM,Construction ⇒ Signages,07 May 2019 01:00PM,AWARDED,Not Applicable,,,
417,Quotation,SCB000ETQ19300038,Venue preparation works - Exhibition Teardown,Science Centre Board,25 Apr 2019 10:20AM,Construction ⇒ Repairs & Redecoration,06 May 2019 01:00PM,AWARDED,Not Applicable,,,
418,Tender,NEA000ETT19300030,Provision of Repairs & Redecoration (R&R) works,National Environment Agency,24 Apr 2019 02:35PM,Construction ⇒ Repairs & Redecoration,23 May 2019 04:00PM,AWARDED,Not Applicable,,,
419,Quotation,MOESCHETQ19302191,"Design, construction, delivery and installation of Heritage Gallery and Board 2019",Ministry of Education - Schools,24 Apr 2019 07:20AM,Construction ⇒ Renovation Supplies & Services,03 May 2019 01:00PM,AWARDED,Not Applicable,,,
420,Tender,SPC000ETT19300021,PROPOSED INTEGRATED SPORTS AND COMMUNITY DEVELOPMENT - NOMINATED SUB-CONTRACT FOR SIGNAGE WORKS,Singapore Sports Council,23 Apr 2019 05:20PM,Construction ⇒ Signages,07 Jun 2019 04:00PM,AWARDED,Not Applicable,,,
421,Quotation,MPA000ETQ19300041 / INC1900351,Provision Of Repair Works And Repainting Of MPA-Owned Beacons (East Zone) For 2019,Maritime and Port Authority of Singapore,23 Apr 2019 04:35PM,Construction ⇒ Repairs & Redecoration,13 May 2019 01:00PM,AWARDED,Not Applicable,,,
422,Tender,CCYNYCETT19300011 / NYC/ITT-2019/05,"ITT FOR THE MAINTENANCE & AD HOC REPAIRS OF 2 WOODEN LAUNCHES - 32 SEATER, ""HARMONY” & 60 SEATER, “SYMPHONY” FOR A PERIOD OF 2 YEARS WITH OBS","Ministry of Culture, Community and Youth - National Youth Council",23 Apr 2019 03:20PM,Construction ⇒ Others,21 May 2019 04:00PM,AWARDED,Not Applicable,,,
423,Quotation,MOESCHETQ19302151,2019 ITQ - WORK TO REDUCE ECHO IN THE AUDITORIUM,Ministry of Education - Schools,23 Apr 2019 02:05PM,Construction ⇒ Renovation Supplies & Services,02 May 2019 01:00PM,AWARDED,Not Applicable,,,
424,Quotation,HLTHQ0ETQ19300017 / MOH ITQ B29/18,"INVITATION TO QUOTE FOR SOIL INVESTIGATION WORKS FOR THE PROPOSED DEVELOPMENT OF A NURSING HOME AT MACPHERSON ROAD, SINGAPORE",Ministry of Health-Ministry Headquarter,23 Apr 2019 12:05AM,Construction ⇒ Soil Investigation & Stabilization,02 May 2019 01:00PM,AWARDED,Not Applicable,,,
425,Tender,SDC000ETT19300013 / SDC/21.8.21/18,"CONSTRUCTION FOR THE REDEVELOPMENT OF NORTH-SOUTH LINK PRECINCT, SENTOSA",Sentosa Development Corporation,22 Apr 2019 08:20PM,Construction ⇒ General Building & Minor Construction Works,11 Jun 2019 04:00PM,AWARDED,Not Applicable,,,
426,Tender,JTC000ETT19300069 / JTC19T0004,"Construction of Roads, Drains and Sewers including Ancillary Works at Tuas Western Coast",Jurong Town Corporation,22 Apr 2019 05:20PM,Construction ⇒ Civil Engineering,28 Jun 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
427,Quotation,MOESCHETQ19302125,Design advice and conceptualisation by an interior designer supply and install the following furnishings at library.,Ministry of Education - Schools,22 Apr 2019 11:20AM,Construction ⇒ Interior Decoration,10 May 2019 01:00PM,AWARDED,Not Applicable,,,
428,Tender,HOMHQ0ETT19300029 / MHA/191/9/9/242,"Nominated Sub-Contract for the Supply, Installation and Monitoring of Instruments for Immigration & Checkpoints Authority",Ministry of Home Affairs-Ministry Headquarter,22 Apr 2019 10:35AM,Construction ⇒ Soil Investigation & Stabilization,21 May 2019 04:00PM,PENDING AWARD,Not Applicable,,Not Applicable,Not Applicable
429,Quotation,TPO000ETQ19300105 / ENG2/19/0017/JAS,"Invitation To Quote (ITQ) for The Supply, Delivery and A&A work to extend existing fabrication room for Metal Laser Cutter",Temasek Polytechnic,22 Apr 2019 10:35AM,Construction ⇒ Renovation Supplies & Services,06 May 2019 01:00PM,AWARDED,Not Applicable,,,
